59
3720
972
23121
1251
4935
2541
4065
1938
789
2697
879
16329
933
2001
1044
3957
2100
1701
1608
9819
2205
1443
834
9045
2424
2037
2058
927
18243
2376
1410
1164
1008
14871
10482
1959
1917
1758
8040
16347
4878
2511
1416
2313
1899
3990
9411
5433
2175
1440
2625
696
1932
630
2340
618
2130
2223
5964
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
8,10
9,11
10,11
11,12
12,17
13,15
14,15
15,16
16,18
17,19
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
29,43
30,31
31,32
31,34
31,35
31,38
31,39
31,40
31,46
31,47
32,33
33,48
34,48
35,49
38,48
39,49
40,49
41,42
42,43
43,44
44,45
45,49
45,49
46,49
47,48
48,49
49,50
50,51
50,53
50,55
50,57
51,52
52,58
53,54
54,58
55,56
56,58
57,56
58,59
