59
3663
991
23103
1229
4955
2463
4065
1921
803
2661
880
16333
953
1995
1026
3967
2111
1695
1626
9819
2215
1423
812
9058
2404
2058
2064
911
18225
2381
1424
1229
1996
14850
10487
1978
1909
1812
8051
16343
4863
2533
1426
2314
1884
3975
9393
4242
2174
1450
2623
702
1928
652
2359
624
2147
2214
5943
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
8,10
9,11
10,11
11,12
12,17
13,15
14,15
15,16
16,18
17,19
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
29,43
30,31
31,32
31,34
31,35
31,38
31,38
31,40
31,46
31,47
32,33
33,48
34,48
35,49
38,48
39,49
40,49
41,42
42,43
43,44
44,45
44,49
45,49
46,49
47,48
48,49
49,50
50,51
50,53
50,55
50,57
51,52
52,58
53,54
54,58
55,56
56,58
57,56
58,59
